Age,Monthly_Income,Employment_Type,City_Tier,Total_Spend_Prev,Next_Month_Spend
48,3488.6,Salaried,Tier 1,2252.97,2448.47
30,3540.62,Salaried,Tier 3,2398.02,2210.85
58,6819.46,Salaried,Tier 2,4892.6,5132.62
54,3122.36,Salaried,Tier 1,1911.06,1869.96
63,5544.77,Student,Tier 2,2814.85,2546.94
45,5779.32,Student,Tier 1,4415.24,4803.02
36,4818.09,Freelancer,Tier 2,2946.05,2737.48
53,7651.74,Salaried,Tier 1,4743.18,5003.24
53,5752.58,Salaried,Tier 1,3005.32,2935.76
45,7764.35,Freelancer,Tier 1,5543.17,5312.6
62,4023.4,Student,Tier 1,2673.23,2807.04
33,4049.08,Salaried,Tier 1,2047.56,2102.11
60,5791.31,Business,Tier 1,4096.5,4456.36
23,4607.8,Student,Tier 3,1987.74,1828.29
24,7528.5,Business,Tier 1,4272.58,4527.72
58,5512.55,Salaried,Tier 1,3205.56,3315.05
38,3433.14,Salaried,Tier 3,1588.26,1529.4
23,2394.78,Salaried,Tier 2,1054.4,1064.09
23,4882.64,Salaried,Tier 2,3605.98,3710.29
49,4866.32,Salaried,Tier 1,3759.88,3937.55
44,5470.65,Salaried,Tier 2,2159.73,2024.56
58,6816.04,Freelancer,Tier 1,4270.1,4194.93
53,6618.67,Salaried,Tier 2,3136.5,2886.87
54,4131.65,Salaried,Tier 3,2054.48,1969.78
22,3059.27,Freelancer,Tier 2,1986.56,1815.57
40,3148.82,Freelancer,Tier 1,1735.11,1805.99
23,3894.8,Freelancer,Tier 2,2466.84,2490.0
47,4449.9,Salaried,Tier 2,2283.51,2463.02
53,5457.59,Freelancer,Tier 2,3156.86,3170.14
27,3798.55,Salaried,Tier 2,2016.12,1897.5
53,5420.59,Salaried,Tier 2,3241.54,2947.03
25,5543.06,Freelancer,Tier 2,3417.6,3220.36
32,5215.02,Salaried,Tier 3,2639.66,2822.24
38,3307.07,Salaried,Tier 3,1982.57,2062.26
59,5701.74,Salaried,Tier 1,4436.91,4564.51
45,8121.9,Salaried,Tier 2,5042.25,4789.45
26,5368.85,Salaried,Tier 1,3504.44,3500.66
55,2000.0,Business,Tier 2,1040.81,1087.64
27,6861.32,Salaried,Tier 1,3464.46,3252.0
43,3945.88,Student,Tier 2,2869.37,2855.91
32,8398.57,Salaried,Tier 2,4407.19,4069.62
37,5174.55,Salaried,Tier 1,2791.79,2808.94
54,2472.95,Salaried,Tier 3,1545.05,1567.77
30,2000.0,Salaried,Tier 2,1356.23,1365.83
27,7309.61,Freelancer,Tier 1,4367.93,4167.75
37,6658.86,Salaried,Tier 2,4741.76,4824.7
50,8339.03,Salaried,Tier 3,4272.62,4697.14
24,5016.39,Freelancer,Tier 1,3053.15,3260.1
41,4915.21,Salaried,Tier 2,2792.3,2933.35
57,4425.92,Business,Tier 2,2850.72,2675.19
40,4012.56,Freelancer,Tier 3,2203.62,2301.07
47,4411.36,Salaried,Tier 2,2413.73,2175.98
24,5326.19,Salaried,Tier 2,2129.42,1929.88
40,3734.15,Salaried,Tier 3,1920.82,1852.63
41,2496.07,Business,Tier 3,1188.23,1180.29
53,5239.81,Salaried,Tier 2,3356.44,3407.21
28,3700.71,Salaried,Tier 1,2654.51,2860.5
62,2000.0,Salaried,Tier 1,1417.68,1494.73
54,5828.85,Salaried,Tier 2,3423.72,3286.75
61,3337.91,Salaried,Tier 2,2341.88,2455.92
60,5992.68,Business,Tier 1,4036.95,4076.83
39,5956.77,Salaried,Tier 1,3423.98,3615.16
61,5425.39,Student,Tier 2,2729.41,2680.85
22,8745.23,Business,Tier 1,6359.84,5840.74
32,4792.92,Salaried,Tier 1,3703.78,3791.55
49,4571.54,Salaried,Tier 1,1992.64,2015.37
46,6025.51,Salaried,Tier 2,3408.5,3717.73
44,4916.83,Freelancer,Tier 2,3733.24,3602.79
52,6740.74,Salaried,Tier 1,4458.94,4598.17
51,3096.79,Student,Tier 1,2235.16,2223.57
63,3121.74,Freelancer,Tier 2,2086.38,2434.92
56,6148.71,Salaried,Tier 2,3901.51,4131.36
28,3252.78,Freelancer,Tier 2,2158.13,2285.71
37,5913.65,Salaried,Tier 1,3002.89,3131.78
47,5555.0,Business,Tier 2,3092.24,2834.72
23,3958.27,Salaried,Tier 3,2021.22,1958.61
22,5550.76,Salaried,Tier 1,2724.12,2477.18
33,3148.11,Salaried,Tier 2,1734.85,1680.61
26,3500.15,Business,Tier 1,1580.29,1627.04
58,4644.22,Salaried,Tier 1,2567.22,2576.82
53,5118.39,Student,Tier 1,2793.52,2906.9
30,4544.54,Salaried,Tier 2,2989.24,3020.0
62,5649.67,Salaried,Tier 1,3090.63,3125.13
56,5582.7,Salaried,Tier 1,3644.2,3652.2
40,7294.05,Salaried,Tier 1,3930.71,3824.05
37,4857.07,Salaried,Tier 1,2561.33,2533.95
24,6791.85,Salaried,Tier 2,4909.57,4529.02
41,6381.09,Freelancer,Tier 1,4226.32,4154.2
45,8440.97,Salaried,Tier 1,4689.11,5054.12
54,4809.11,Salaried,Tier 2,3455.49,3639.51
45,4369.46,Salaried,Tier 2,3327.47,3383.1
32,6886.54,Freelancer,Tier 2,3120.73,3019.64
29,5578.15,Salaried,Tier 1,3983.02,3959.38
57,6922.49,Salaried,Tier 2,4766.5,4510.39
59,6075.2,Salaried,Tier 1,3791.1,3703.0
61,2000.0,Freelancer,Tier 1,1405.38,1410.88
41,5564.48,Business,Tier 2,3466.25,3220.7
56,5466.82,Salaried,Tier 3,3668.41,3699.73
46,5199.66,Salaried,Tier 2,3962.99,4253.5
56,4801.64,Business,Tier 1,2723.14,2697.54
46,2611.78,Student,Tier 3,1502.84,1534.58
50,6311.27,Freelancer,Tier 1,3989.67,4396.67
39,5560.65,Student,Tier 3,3617.87,3652.29
39,6652.94,Freelancer,Tier 1,4885.2,4968.14
23,2691.87,Freelancer,Tier 1,1803.69,2063.67
56,5760.7,Salaried,Tier 2,4027.32,4215.01
37,4648.01,Salaried,Tier 3,2444.24,2219.87
62,5215.68,Salaried,Tier 3,3467.21,3226.52
57,4665.26,Business,Tier 2,2395.16,2460.93
54,5815.41,Student,Tier 2,3084.82,3053.33
25,4755.69,Freelancer,Tier 2,2406.09,2866.34
54,3422.13,Salaried,Tier 2,2500.64,2421.61
35,5129.64,Salaried,Tier 3,4043.71,4259.81
42,4678.74,Salaried,Tier 1,2113.96,1961.38
41,4874.91,Salaried,Tier 1,2724.31,2958.68
29,2000.0,Freelancer,Tier 3,1341.03,1775.63
28,6023.95,Student,Tier 3,4289.81,4058.93
24,4528.0,Salaried,Tier 1,2896.79,3064.32
38,2977.77,Salaried,Tier 1,1618.05,1762.99
54,6383.85,Freelancer,Tier 3,4494.87,5121.09
33,5954.55,Salaried,Tier 2,3690.63,3497.19
43,4509.02,Business,Tier 2,2386.12,2468.2
43,3271.75,Salaried,Tier 1,1910.94,1928.85
51,5267.05,Salaried,Tier 3,2982.86,3117.15
59,5184.66,Salaried,Tier 1,2835.89,2828.48
59,6386.5,Salaried,Tier 1,4124.85,4099.91
29,4334.4,Salaried,Tier 1,2830.71,3047.37
48,6792.38,Salaried,Tier 3,5088.47,5466.3
48,4189.62,Salaried,Tier 2,3090.28,3268.03
55,2981.25,Salaried,Tier 2,2047.52,2131.42
42,3301.58,Salaried,Tier 1,1908.17,1976.24
51,4906.38,Salaried,Tier 3,3087.66,2813.59
54,4901.73,Salaried,Tier 2,3599.97,3779.64
49,5491.79,Freelancer,Tier 2,3155.55,3506.86
54,4864.44,Student,Tier 3,3263.07,3134.12
26,6465.98,Salaried,Tier 1,3125.09,3325.16
40,4608.36,Salaried,Tier 2,2849.32,3038.77
25,2005.59,Salaried,Tier 3,1301.76,1414.28
56,4818.35,Salaried,Tier 2,2326.18,2288.2
38,2000.0,Freelancer,Tier 2,1396.43,1210.67
49,5407.09,Business,Tier 1,3528.71,3815.21
51,6585.79,Freelancer,Tier 2,3230.2,2624.07
50,3520.66,Salaried,Tier 2,2341.13,2480.03
27,7127.84,Salaried,Tier 1,4376.18,4806.76
56,6264.25,Student,Tier 3,4493.78,4630.33
62,6809.72,Salaried,Tier 1,3810.97,4179.65
58,5284.35,Salaried,Tier 1,2928.6,2937.86
45,3510.85,Student,Tier 2,2217.78,2063.89
50,6171.22,Freelancer,Tier 2,3408.22,3598.91
52,4063.1,Freelancer,Tier 1,2660.53,2906.83
56,5176.83,Salaried,Tier 1,3219.43,2898.07
54,4742.97,Salaried,Tier 1,2292.73,2366.96
42,6687.04,Salaried,Tier 1,3648.1,3393.66
53,6095.49,Freelancer,Tier 1,3570.33,4450.48
44,4879.15,Salaried,Tier 1,2106.8,1964.86
54,2072.59,Business,Tier 1,1146.49,1158.52
24,4047.16,Business,Tier 2,3040.74,3143.79
39,6056.33,Salaried,Tier 3,3593.14,3822.73
46,5420.17,Salaried,Tier 2,3544.25,3515.38
63,2745.17,Salaried,Tier 2,1946.04,2114.87
52,2290.12,Freelancer,Tier 1,1685.79,1495.48
24,5293.26,Freelancer,Tier 2,2777.93,2643.35
61,3414.41,Freelancer,Tier 2,2065.4,1526.89
45,3558.81,Salaried,Tier 2,1894.99,1954.88
53,6008.91,Salaried,Tier 1,2673.66,2677.62
43,6803.36,Freelancer,Tier 1,4623.48,4864.9
44,3873.95,Salaried,Tier 2,2159.2,2124.94
23,4932.86,Freelancer,Tier 2,3176.19,2727.17
48,4888.63,Freelancer,Tier 3,3158.25,3573.86
63,4753.69,Salaried,Tier 1,3094.57,3370.54
23,5060.9,Salaried,Tier 1,2070.34,2179.33
47,6134.75,Salaried,Tier 2,2720.38,2551.46
38,3989.11,Salaried,Tier 3,2444.67,2232.8
61,2712.08,Freelancer,Tier 1,1508.53,892.59
54,7535.01,Freelancer,Tier 2,3501.37,4752.61
30,6634.13,Business,Tier 1,4675.28,4306.85
64,3344.54,Freelancer,Tier 2,2026.69,2151.97
60,5203.45,Salaried,Tier 2,3167.96,3025.4
50,6516.05,Salaried,Tier 3,2923.79,3056.1
63,6123.57,Business,Tier 1,3949.72,3555.07
47,5693.02,Salaried,Tier 1,3437.91,3284.7
56,4744.66,Freelancer,Tier 2,2220.28,2452.33
46,7590.96,Freelancer,Tier 1,4473.86,4588.23
45,5331.29,Salaried,Tier 2,3661.41,3865.61
34,4227.56,Salaried,Tier 2,3269.94,3046.06
28,6306.61,Salaried,Tier 1,3373.68,3394.58
57,5144.09,Business,Tier 3,3196.25,3001.77
41,5524.7,Salaried,Tier 1,3549.18,3648.0
22,5304.72,Student,Tier 3,3251.71,3011.96
29,5745.16,Salaried,Tier 3,2604.97,2421.94
37,3532.32,Student,Tier 2,2268.53,2190.58
35,2823.34,Salaried,Tier 1,1549.54,1519.14
33,7151.2,Salaried,Tier 3,4007.94,4006.78
44,5374.38,Business,Tier 2,3203.8,3255.52
36,6156.27,Business,Tier 1,3968.81,3944.05
49,2360.36,Salaried,Tier 1,1422.67,1293.39
55,6600.02,Freelancer,Tier 1,4511.36,4548.09
23,4217.77,Business,Tier 3,2320.63,2117.06
53,3790.67,Salaried,Tier 3,2033.96,1878.6
44,4904.94,Salaried,Tier 3,2848.58,2616.61
43,3533.03,Business,Tier 2,2334.22,2174.6
46,4997.4,Salaried,Tier 2,3559.13,3781.87
43,4795.49,Salaried,Tier 1,1901.11,1949.61
43,6590.59,Freelancer,Tier 1,2707.19,2202.04
63,7270.02,Salaried,Tier 1,4391.19,4595.17
27,7222.27,Salaried,Tier 2,4073.38,4449.13
36,2000.0,Student,Tier 3,984.76,968.55
64,3597.25,Salaried,Tier 3,2521.76,2454.89
58,2000.0,Business,Tier 1,1356.58,1486.21
54,3209.69,Business,Tier 2,1799.79,1897.46
29,4025.72,Salaried,Tier 2,2282.57,2409.08
26,5615.84,Salaried,Tier 2,2756.04,2811.13
60,4220.1,Salaried,Tier 2,1795.83,1798.35
25,4261.89,Salaried,Tier 1,2679.3,2706.41
27,5272.65,Freelancer,Tier 3,3512.24,3438.8
53,2436.04,Freelancer,Tier 2,1454.16,1653.95
51,3742.11,Salaried,Tier 2,1547.22,1634.57
56,4244.67,Salaried,Tier 1,2967.68,3210.57
61,4696.4,Salaried,Tier 1,3118.74,3163.21
37,5115.43,Salaried,Tier 1,2582.47,2521.25
34,7250.97,Salaried,Tier 2,4523.15,4700.09
63,6362.5,Salaried,Tier 3,4156.1,3891.91
51,3846.03,Freelancer,Tier 2,2097.09,2110.38
40,4608.01,Salaried,Tier 2,2510.05,2589.36
38,4505.84,Salaried,Tier 2,2394.82,2187.7
40,4228.77,Freelancer,Tier 1,2649.17,2704.84
49,5408.77,Salaried,Tier 2,3021.07,3172.33
47,2210.33,Salaried,Tier 2,1626.06,1553.81
58,6321.07,Salaried,Tier 1,3461.79,3150.91
47,7540.33,Salaried,Tier 1,4484.68,4474.96
44,4595.24,Salaried,Tier 2,2867.96,3059.33
30,4565.95,Student,Tier 1,3244.09,3082.89
33,5235.57,Salaried,Tier 3,2429.76,2535.22
22,6529.08,Student,Tier 2,4961.63,4870.13
22,4513.56,Salaried,Tier 1,2999.74,2735.54
55,6400.92,Salaried,Tier 1,3700.07,3555.0
53,5732.74,Salaried,Tier 3,3780.91,3640.19
46,8542.42,Salaried,Tier 2,5499.55,5944.64
61,4507.01,Salaried,Tier 2,3028.74,3320.56
22,2036.0,Salaried,Tier 1,1112.96,1048.35
37,2850.59,Salaried,Tier 3,1573.99,1552.12
60,5017.89,Salaried,Tier 2,3231.18,3539.24
26,6541.82,Salaried,Tier 2,3682.98,3614.68
43,4021.24,Salaried,Tier 3,2377.19,2305.48
50,4653.6,Salaried,Tier 1,3002.56,2768.29
24,6027.26,Freelancer,Tier 2,3745.42,3645.1
33,3552.15,Business,Tier 1,2299.16,2274.79
47,4083.1,Salaried,Tier 2,2434.33,2501.84
37,3248.41,Salaried,Tier 1,2157.42,2161.67
58,6767.34,Salaried,Tier 3,4387.41,4101.83
43,7312.51,Business,Tier 1,4459.99,4171.31
50,2630.88,Salaried,Tier 2,1676.41,1823.86
35,4786.72,Freelancer,Tier 3,2987.99,2812.63
49,7110.89,Salaried,Tier 3,4418.7,4516.47
26,5598.04,Salaried,Tier 2,2654.89,2390.06
51,4266.14,Salaried,Tier 2,2649.03,2613.69
26,2680.76,Salaried,Tier 1,1484.86,1493.9
33,6729.42,Business,Tier 1,3585.5,3549.24
37,5540.77,Salaried,Tier 2,3621.08,3929.19
47,2790.52,Salaried,Tier 1,1671.61,1518.11
47,6784.84,Salaried,Tier 1,4412.78,4549.52
42,2599.39,Freelancer,Tier 1,1166.02,1089.49
60,4669.27,Salaried,Tier 2,3462.83,3504.03
57,4603.08,Salaried,Tier 2,2323.37,2395.82
54,7427.57,Salaried,Tier 1,4300.53,4249.63
51,4608.43,Salaried,Tier 1,2684.66,2495.86
58,4603.04,Freelancer,Tier 2,2866.96,2573.53
44,2955.38,Salaried,Tier 2,1460.51,1586.98
31,4039.4,Salaried,Tier 2,2305.55,2322.1
26,3774.06,Salaried,Tier 3,1715.64,1586.26
57,3852.17,Student,Tier 1,2598.06,2766.5
55,5009.43,Salaried,Tier 1,3608.41,3407.6
52,2000.0,Salaried,Tier 1,1098.09,1069.58
31,2734.65,Student,Tier 2,1461.09,1440.27
40,4833.47,Salaried,Tier 2,3204.82,3102.08
53,5181.88,Student,Tier 1,2517.69,2469.58
22,4649.85,Salaried,Tier 2,2463.68,2609.27
26,4938.81,Salaried,Tier 2,2333.68,2204.56
25,4386.33,Freelancer,Tier 3,3399.43,3574.81
37,4972.24,Business,Tier 2,3216.7,2907.91
45,5651.21,Salaried,Tier 2,3563.91,3569.37
37,5640.7,Student,Tier 2,3234.84,2983.61
23,3966.56,Salaried,Tier 3,2938.14,2810.17
49,6372.64,Business,Tier 3,3685.8,3556.7
53,5235.66,Salaried,Tier 2,3083.19,2825.65
48,6848.32,Salaried,Tier 2,3402.75,3307.86
41,7149.31,Student,Tier 2,4325.71,4324.03
45,2835.91,Student,Tier 2,1724.06,1700.3
33,3711.46,Salaried,Tier 2,2782.03,2659.86
56,6220.32,Salaried,Tier 1,2809.76,2694.48
54,2502.66,Salaried,Tier 3,1241.65,1274.82
54,7130.27,Salaried,Tier 2,4135.04,4315.66
64,4484.18,Salaried,Tier 3,3256.42,3306.26
58,5862.55,Salaried,Tier 2,3868.35,4236.77
33,4825.41,Salaried,Tier 2,2060.75,2244.11
24,2911.42,Freelancer,Tier 1,1652.69,1619.74
22,6583.32,Salaried,Tier 2,5001.55,4762.85
54,9126.08,Salaried,Tier 2,5902.7,6337.61
61,4227.49,Salaried,Tier 1,2720.24,2464.36
31,4516.46,Freelancer,Tier 3,2025.39,1449.59
64,2000.0,Salaried,Tier 1,1305.38,1424.04
50,7027.25,Salaried,Tier 2,3839.27,3976.5
34,6367.65,Freelancer,Tier 1,4579.76,3634.53
33,2399.92,Business,Tier 3,1278.01,1341.35
52,2000.0,Freelancer,Tier 1,1142.94,976.29
23,2076.15,Student,Tier 2,1146.38,1243.02
56,5967.75,Freelancer,Tier 1,3512.67,2759.83
44,6117.49,Freelancer,Tier 2,4239.11,4834.48
38,3615.0,Salaried,Tier 3,2213.89,2323.08
47,5748.89,Salaried,Tier 1,3127.54,2975.88
29,5238.32,Salaried,Tier 2,3347.06,3134.05
50,4449.1,Salaried,Tier 1,2161.62,1946.63
47,6455.3,Salaried,Tier 2,3520.99,3512.51
31,3192.6,Salaried,Tier 2,2283.57,2479.33
47,6721.31,Freelancer,Tier 2,2617.33,2933.15
55,3907.22,Salaried,Tier 2,1770.84,1609.12
62,7672.31,Salaried,Tier 2,4688.39,4801.31
28,3492.04,Student,Tier 1,1995.7,1818.55
25,4472.64,Salaried,Tier 2,2878.8,2882.78
32,5087.88,Salaried,Tier 1,2940.57,2870.89
50,5078.48,Salaried,Tier 2,3876.4,3857.35
57,5736.24,Business,Tier 3,3679.39,3431.14
46,3071.48,Salaried,Tier 1,1950.45,1790.59
42,4944.03,Freelancer,Tier 1,2722.33,2628.63
57,5207.2,Salaried,Tier 1,2433.46,2309.68
31,4208.39,Salaried,Tier 3,1710.62,1813.4
58,5606.09,Salaried,Tier 3,3958.59,4163.21
30,2980.45,Freelancer,Tier 1,1927.28,1536.36
45,4510.32,Business,Tier 2,3066.6,3317.01
56,3870.22,Freelancer,Tier 1,1771.32,2130.3
56,4514.85,Freelancer,Tier 2,2285.95,2137.18
57,7170.55,Salaried,Tier 2,3729.15,3669.88
